,Net Income/Loss,Total Depreciation And Amortization - Cash Flow,Other Non-Cash Items,Total Non-Cash Items,Change In Accounts Receivable,Change In Inventories,Change In Accounts Payable,Change In Assets/Liabilities,Total Change In Assets/Liabilities,Cash Flow From Operating Activities,"Net Change In Property, Plant, And Equipment",Net Change In Intangible Assets,Net Acquisitions/Divestitures,Net Change In Short-term Investments,Net Change In Long-Term Investments,Net Change In Investments - Total,Investing Activities - Other,Cash Flow From Investing Activities,Net Long-Term Debt,Net Current Debt,Debt Issuance/Retirement Net - Total,Net Common Equity Issued/Repurchased,Net Total Equity Issued/Repurchased,Total Common And Preferred Stock Dividends Paid,Financial Activities - Other,Cash Flow From Financial Activities,Net Cash Flow,Stock-Based Compensation,Common Stock Dividends Paid
2018-06-30,"$2,565",$335,$410,$745,-,"$-23,542","$20,834","$7,996","$5,288","$8,598","$-1,249",-,$-81,-,$108,$108,"$-2,368","$-3,590","$3,448",$-26,"$3,422",$10,$10,$-531,"$3,005","$5,906","$10,914",$176,$-531
2018-03-31,"$2,832",$299,"$1,373","$1,672",-,"$-7,543","$-10,479","$12,554","$-5,468",$-964,$-556,-,$-68,-,"$-3,005","$-3,005","$-5,584","$-9,213","$5,402","$5,603","$11,005",$-800,"$-1,485",$-376,"$11,485","$20,629","$10,452","$1,329",$-376
2017-12-31,"$-1,928",$350,"$6,268","$6,618",-,"$22,809","$-18,331","$-18,273","$-13,795","$-9,105",$-837,-,$-535,-,"$-2,367","$-2,367","$-4,809","$-8,548","$7,392",$-56,"$7,336","$-1,629",$-922,$-498,"$5,178","$11,094","$-6,559",$159,$-498
2017-09-30,"$2,128",$280,$158,$438,-,"$-6,299","$5,877",$569,$147,"$2,713",$-455,-,$-762,-,"$-2,143","$-2,143","$-7,763","$-11,123","$8,794",$59,"$8,853","$-2,174","$-2,174",$-395,"$7,848","$14,132","$5,722",$158,$-395
2017-06-30,"$1,831",$265,$72,$337,-,"$-16,519","$-7,869","$11,512","$-12,876","$-10,708",$-557,-,$-574,-,$-382,$-382,"$-3,646","$-5,159","$6,192","$1,869","$8,061","$-1,465","$-1,527",$-510,"$-2,304","$3,720","$-12,147",$180,$-510
2017-03-31,"$2,255",$257,"$1,272","$1,529",-,"$-14,873","$-6,658","$14,358","$-7,173","$-3,389",$-761,-,$-512,-,$542,$542,$-816,"$-1,547","$7,659","$-2,778","$4,881","$-1,497","$-1,497",$-366,"$3,242","$6,260","$1,324","$1,272",$-366
2016-12-31,"$2,347",$267,$904,"$1,171",-,"$9,889","$-1,199","$-8,679",$11,"$3,529",$-753,-,$-832,-,$308,$308,$-350,"$-1,627","$5,191","$-2,849","$2,342","$-1,483","$-1,483",$-468,"$1,415","$1,806","$3,708",$168,$-468
2016-09-30,"$2,094",$247,$129,$376,-,"$-19,307","$-14,262","$26,522","$-7,047","$-4,577",$-771,-,$-128,-,$391,$391,"$-1,005","$-1,513","$3,789","$-1,754","$2,035","$-1,296",$-648,$-378,$568,"$1,577","$-4,513",$129,$-378
2016-06-30,"$1,822",$245,$149,$394,-,"$1,863",$719,"$5,286","$7,868","$10,084",$-597,-,"$16,444",-,$496,$496,$-388,"$15,955","$-1,899",$-456,"$-2,355","$-1,738","$-1,233",$-473,"$2,587","$-1,474","$24,565",$149,$-473
2016-03-31,"$1,135",$239,"$1,665","$1,904",-,"$23,177",$19,"$-28,777","$-5,581","$-2,542",$-363,-,$-562,-,$322,$322,"$-2,537","$-3,140","$2,766","$2,745","$5,511","$-1,555","$-1,405",$-387,"$6,475","$10,194","$4,512","$1,665",$-387
2015-12-31,$765,$285,$590,$875,-,"$-5,918","$14,608","$-1,015","$7,675","$9,315",$-520,-,$-124,-,$305,$305,"$-3,488","$-3,827","$1,992",$484,"$2,476","$-1,551","$-1,551",$-484,"$4,510","$4,951","$10,439",$165,$-484
